ProcessName,RegionName,Time,Level,CO2f,electricity,gas,diesel,gasoline,LPG,hydrogen,transport_heavy,transport_medium,transport_light,CH4f,N2Of
Unit,-,Year,-,kt/PJ,PJ/(km*btons),PJ/(km*btons),PJ/(km*btons),PJ/(km*btons),PJ/(km*btons),PJ/(km*btons),btons*km,btons*km,btons*km,kt/PJ,kt/PJ
Heavy trucks - Conventional diesel_Medium Efficiency,R1,2020,fixed,,,,0.702692937,,,,,,,,
Heavy trucks - Conventional diesel_Medium Efficiency,R1,2030,fixed,,,,0.659663484,,,,,,,,
Heavy trucks - Conventional diesel_Medium Efficiency,R1,2040,fixed,,,,0.621599778,,,,,,,,
Heavy trucks - Conventional diesel_Medium Efficiency,R1,2050,fixed,,,,0.587689115,,,,,,,,
Heavy trucks - Conventional diesel_High Efficiency,R1,2020,fixed,,,,0.594915198,,,,,,,,
Heavy trucks - Conventional diesel_High Efficiency,R1,2030,fixed,,,,0.563780619,,,,,,,,
Heavy trucks - Conventional diesel_High Efficiency,R1,2040,fixed,,,,0.535742797,,,,,,,,
Heavy trucks - Conventional diesel_High Efficiency,R1,2050,fixed,,,,0.5103616,,,,,,,,
Heavy trucks - Conventional diesel,R1,2020,fixed,,,,0.858161696,,,,,,,,
Heavy trucks - Conventional diesel,R1,2030,fixed,,,,0.794843499,,,,,,,,
Heavy trucks - Conventional diesel,R1,2040,fixed,,,,0.740226944,,,,,,,,
Heavy trucks - Conventional diesel,R1,2050,fixed,,,,0.6926336,,,,,,,,
Heavy trucks - Battery Electric,R1,2020,fixed,,0.205528846,,,,,,,,,,
Heavy trucks - Battery Electric,R1,2030,fixed,,0.182091346,,,,,,,,,,
Heavy trucks - Battery Electric,R1,2040,fixed,,0.163882212,,,,,,,,,,
Heavy trucks - Battery Electric,R1,2050,fixed,,0.160604567,,,,,,,,,,
Heavy trucks - Conventional gasoline,R1,2020,fixed,,,,,0.577172261,,,,,,,
Heavy trucks - Conventional gasoline,R1,2030,fixed,,,,,0.531990682,,,,,,,
Heavy trucks - Conventional gasoline,R1,2040,fixed,,,,,0.531990682,,,,,,,
Heavy trucks - Conventional gasoline,R1,2050,fixed,,,,,0.531990682,,,,,,,
Heavy trucks - Hydrogen,R1,2020,fixed,,,,,,,0.380408654,,,,,
Heavy trucks - Hydrogen,R1,2030,fixed,,,,,,,0.328125,,,,,
Heavy trucks - Hydrogen,R1,2040,fixed,,,,,,,0.2953125,,,,,
Heavy trucks - Hydrogen,R1,2050,fixed,,,,,,,0.26578125,,,,,
Heavy trucks - LPG,R1,2020,fixed,,,,,,0.524022109,,,,,,
Heavy trucks - LPG,R1,2030,fixed,,,,,,0.500378391,,,,,,
Heavy trucks - LPG,R1,2040,fixed,,,,,,0.478776156,,,,,,
Heavy trucks - LPG,R1,2050,fixed,,,,,,0.458961944,,,,,,
Heavy trucks - Natural gas,R1,2020,fixed,,,0.3417556,,,,,,,,,
Heavy trucks - Natural gas,R1,2030,fixed,,,0.324378197,,,,,,,,,
Heavy trucks - Natural gas,R1,2040,fixed,,,0.308682478,,,,,,,,,
Heavy trucks - Natural gas,R1,2050,fixed,,,0.294435594,,,,,,,,,
Medium trucks - Conventional Diesel_Medium Efficiency,R1,2020,fixed,,,,2.794112037,,,,,,,,
Medium trucks - Conventional Diesel_Medium Efficiency,R1,2030,fixed,,,,2.680806021,,,,,,,,
Medium trucks - Conventional Diesel_Medium Efficiency,R1,2040,fixed,,,,2.57633138,,,,,,,,
Medium trucks - Conventional Diesel_Medium Efficiency,R1,2050,fixed,,,,2.479694335,,,,,,,,
