timeslice,commodity,region,supply,units_prices,year
"('all-year', 'all-week', 'night')",CO2f,R1,4765.17980000000,MUS$2010/kt,2020
"('all-year', 'all-week', 'night')",transport,R1,67.42340000000,MUS$2010/PJ,2020
"('all-year', 'all-week', 'morning')",CO2f,R1,4765.17980000000,MUS$2010/kt,2020
"('all-year', 'all-week', 'morning')",transport,R1,67.42340000000,MUS$2010/PJ,2020
"('all-year', 'all-week', 'afternoon')",CO2f,R1,4765.17980000000,MUS$2010/kt,2020
"('all-year', 'all-week', 'afternoon')",transport,R1,67.42340000000,MUS$2010/PJ,2020
"('all-year', 'all-week', 'early-peak')",CO2f,R1,4765.17980000000,MUS$2010/kt,2020
"('all-year', 'all-week', 'early-peak')",transport,R1,67.42340000000,MUS$2010/PJ,2020
"('all-year', 'all-week', 'late-peak')",CO2f,R1,4765.17980000000,MUS$2010/kt,2020
"('all-year', 'all-week', 'late-peak')",transport,R1,67.42340000000,MUS$2010/PJ,2020
"('all-year', 'all-week', 'evening')",CO2f,R1,4765.17980000000,MUS$2010/kt,2020
"('all-year', 'all-week', 'evening')",transport,R1,67.42340000000,MUS$2010/PJ,2020
"('all-year', 'all-week', 'night')",CO2f,R1,5087.64400000000,MUS$2010/kt,2025
"('all-year', 'all-week', 'night')",transport,R1,72.40740000000,MUS$2010/PJ,2025
"('all-year', 'all-week', 'morning')",CO2f,R1,5087.64400000000,MUS$2010/kt,2025
"('all-year', 'all-week', 'morning')",transport,R1,72.40740000000,MUS$2010/PJ,2025
"('all-year', 'all-week', 'afternoon')",CO2f,R1,5087.64400000000,MUS$2010/kt,2025
"('all-year', 'all-week', 'afternoon')",transport,R1,72.40740000000,MUS$2010/PJ,2025
"('all-year', 'all-week', 'early-peak')",CO2f,R1,5087.64400000000,MUS$2010/kt,2025
"('all-year', 'all-week', 'early-peak')",transport,R1,72.40740000000,MUS$2010/PJ,2025
"('all-year', 'all-week', 'late-peak')",CO2f,R1,5087.64400000000,MUS$2010/kt,2025
"('all-year', 'all-week', 'late-peak')",transport,R1,72.40740000000,MUS$2010/PJ,2025
"('all-year', 'all-week', 'evening')",CO2f,R1,5087.64400000000,MUS$2010/kt,2025
"('all-year', 'all-week', 'evening')",transport,R1,72.40740000000,MUS$2010/PJ,2025
"('all-year', 'all-week', 'night')",CO2f,R1,2974.57610000000,MUS$2010/kt,2030
"('all-year', 'all-week', 'night')",transport,R1,77.26030000000,MUS$2010/PJ,2030
"('all-year', 'all-week', 'morning')",CO2f,R1,2974.57610000000,MUS$2010/kt,2030
"('all-year', 'all-week', 'morning')",transport,R1,77.26030000000,MUS$2010/PJ,2030
"('all-year', 'all-week', 'afternoon')",CO2f,R1,2974.57610000000,MUS$2010/kt,2030
"('all-year', 'all-week', 'afternoon')",transport,R1,77.26030000000,MUS$2010/PJ,2030
"('all-year', 'all-week', 'early-peak')",CO2f,R1,2974.57610000000,MUS$2010/kt,2030
"('all-year', 'all-week', 'early-peak')",transport,R1,77.26030000000,MUS$2010/PJ,2030
"('all-year', 'all-week', 'late-peak')",CO2f,R1,2974.57610000000,MUS$2010/kt,2030
"('all-year', 'all-week', 'late-peak')",transport,R1,77.26030000000,MUS$2010/PJ,2030
"('all-year', 'all-week', 'evening')",CO2f,R1,2974.57610000000,MUS$2010/kt,2030
"('all-year', 'all-week', 'evening')",transport,R1,77.26030000000,MUS$2010/PJ,2030
"('all-year', 'all-week', 'night')",CO2f,R1,2420.66330000000,MUS$2010/kt,2035
"('all-year', 'all-week', 'night')",transport,R1,81.53610000000,MUS$2010/PJ,2035
"('all-year', 'all-week', 'morning')",CO2f,R1,2420.66330000000,MUS$2010/kt,2035
"('all-year', 'all-week', 'morning')",transport,R1,81.53610000000,MUS$2010/PJ,2035
"('all-year', 'all-week', 'afternoon')",CO2f,R1,2420.66330000000,MUS$2010/kt,2035
"('all-year', 'all-week', 'afternoon')",transport,R1,81.53610000000,MUS$2010/PJ,2035
"('all-year', 'all-week', 'early-peak')",CO2f,R1,2420.66330000000,MUS$2010/kt,2035
"('all-year', 'all-week', 'early-peak')",transport,R1,81.53610000000,MUS$2010/PJ,2035
"('all-year', 'all-week', 'late-peak')",CO2f,R1,2420.66330000000,MUS$2010/kt,2035
"('all-year', 'all-week', 'late-peak')",transport,R1,81.53610000000,MUS$2010/PJ,2035
"('all-year', 'all-week', 'evening')",CO2f,R1,2420.66330000000,MUS$2010/kt,2035
"('all-year', 'all-week', 'evening')",transport,R1,81.53610000000,MUS$2010/PJ,2035
"('all-year', 'all-week', 'night')",transport,R1,85.41670000000,MUS$2010/PJ,2040
"('all-year', 'all-week', 'morning')",transport,R1,85.41670000000,MUS$2010/PJ,2040
