timeslice,commodity,region,supply,units_prices,year
"('all-year', 'all-week', 'afternoon')",transport,R1,85.41670000000,MUS$2010/PJ,2040
"('all-year', 'all-week', 'early-peak')",transport,R1,85.41670000000,MUS$2010/PJ,2040
"('all-year', 'all-week', 'late-peak')",transport,R1,85.41670000000,MUS$2010/PJ,2040
"('all-year', 'all-week', 'evening')",transport,R1,85.41670000000,MUS$2010/PJ,2040
"('all-year', 'all-week', 'night')",transport,R1,89.04920000000,MUS$2010/PJ,2045
"('all-year', 'all-week', 'morning')",transport,R1,89.04920000000,MUS$2010/PJ,2045
"('all-year', 'all-week', 'afternoon')",transport,R1,89.04920000000,MUS$2010/PJ,2045
"('all-year', 'all-week', 'early-peak')",transport,R1,89.04920000000,MUS$2010/PJ,2045
"('all-year', 'all-week', 'late-peak')",transport,R1,89.04920000000,MUS$2010/PJ,2045
"('all-year', 'all-week', 'evening')",transport,R1,89.04920000000,MUS$2010/PJ,2045
"('all-year', 'all-week', 'night')",transport,R1,91.98140000000,MUS$2010/PJ,2050
"('all-year', 'all-week', 'morning')",transport,R1,91.98140000000,MUS$2010/PJ,2050
"('all-year', 'all-week', 'afternoon')",transport,R1,91.98140000000,MUS$2010/PJ,2050
"('all-year', 'all-week', 'early-peak')",transport,R1,91.98140000000,MUS$2010/PJ,2050
"('all-year', 'all-week', 'late-peak')",transport,R1,91.98140000000,MUS$2010/PJ,2050
"('all-year', 'all-week', 'evening')",transport,R1,91.98140000000,MUS$2010/PJ,2050
