ProcessName,RegionName,Time,Level,CO2f,electricity,gas,diesel,gasoline,LPG,hydrogen,transport
Unit,-,Year,-,kt/PJ,PJ/(Bv-km),PJ/(Bv-km),PJ/(Bv-km),PJ/(Bv-km),PJ/(Bv-km),PJ/(Bv-km),Bv-km
Cars - Conventional Diesel,R1,2020,fixed,,0,0,2.263299363,0,0,0,
Cars - Conventional Diesel,R1,2030,fixed,,0,0,2.089199412,0,0,0,
Cars - Conventional Diesel,R1,2040,fixed,,0,0,1.939970883,0,0,0,
Cars - Conventional Diesel,R1,2050,fixed,,0,0,1.810639491,0,0,0,
Cars - Conventional Diesel_Medium Efficiency,R1,2020,fixed,,0,0,1.959306141,0,0,0,
Cars - Conventional Diesel_Medium Efficiency,R1,2030,fixed,,0,0,1.777888905,0,0,0,
Cars - Conventional Diesel_Medium Efficiency,R1,2040,fixed,,0,0,1.627220354,0,0,0,
Cars - Conventional Diesel_Medium Efficiency,R1,2050,fixed,,0,0,1.500093764,0,0,0,
Cars - Conventional Diesel_High Efficiency,R1,2020,fixed,,0,0,1.755211751,0,0,0,
Cars - Conventional Diesel_High Efficiency,R1,2030,fixed,,0,0,1.592692145,0,0,0,
Cars - Conventional Diesel_High Efficiency,R1,2040,fixed,,0,0,1.457718234,0,0,0,
Cars - Conventional Diesel_High Efficiency,R1,2050,fixed,,0,0,1.343833997,0,0,0,
Cars - Battery Electric (BEV),R1,2020,fixed,,1.274153716,0,0,0,0,0,
Cars - Battery Electric (BEV),R1,2030,fixed,,1.179502296,0,0,0,0,0,
Cars - Battery Electric (BEV),R1,2040,fixed,,1.12180925,0,0,0,0,0,
Cars - Battery Electric (BEV),R1,2050,fixed,,1.092131756,0,0,0,0,0,
Cars - Conventional Gasoline,R1,2020,fixed,,0,0,0,2.529569876,0,0,
Cars - Conventional Gasoline,R1,2030,fixed,,0,0,0,2.334987578,0,0,
Cars - Conventional Gasoline,R1,2040,fixed,,0,0,0,2.168202751,0,0,
Cars - Conventional Gasoline,R1,2050,fixed,,0,0,0,2.023655902,0,0,
Cars - Conventional Gasoline_Medium Efficiency,R1,2020,fixed,,0,0,0,2.137280223,0,0,
Cars - Conventional Gasoline_Medium Efficiency,R1,2030,fixed,,0,0,0,1.939383906,0,0,
Cars - Conventional Gasoline_Medium Efficiency,R1,2040,fixed,,0,0,0,1.775029338,0,0,
Cars - Conventional Gasoline_Medium Efficiency,R1,2050,fixed,,0,0,0,1.636355171,0,0,
Cars - Conventional Gasoline_High Efficiency,R1,2020,fixed,,0,0,0,1.914776456,0,0,
Cars - Conventional Gasoline_High Efficiency,R1,2030,fixed,,0,0,0,1.73748234,0,0,
Cars - Conventional Gasoline_High Efficiency,R1,2040,fixed,,0,0,0,1.590238073,0,0,
Cars - Conventional Gasoline_High Efficiency,R1,2050,fixed,,0,0,0,1.466000724,0,0,
Cars - Plugin Hybrid EV (PHEV),R1,2020,fixed,,0.509661486,0,0,1.282368135,0,0,
Cars - Plugin Hybrid EV (PHEV),R1,2030,fixed,,0.47180092,0,0,1.163630344,0,0,
Cars - Plugin Hybrid EV (PHEV),R1,2040,fixed,,0.448723699,0,0,1.065017603,0,0,
Cars - Plugin Hybrid EV (PHEV),R1,2050,fixed,,0.436852703,0,0,0.981813103,0,0,
Cars - Hydrogen fuel cell,R1,2020,fixed,,0,0,0,0,0,1.243451216,
Cars - Hydrogen fuel cell,R1,2030,fixed,,0,0,0,0,0,1.134136824,
Cars - Hydrogen fuel cell,R1,2040,fixed,,0,0,0,0,0,1.063984031,
Cars - Hydrogen fuel cell,R1,2050,fixed,,0,0,0,0,0,1.011827951,
Cars - Gasoline hybrid,R1,2020,fixed,,0,0,0,1.496096157,0,0,
Cars - Gasoline hybrid,R1,2030,fixed,,0,0,0,1.357568735,0,0,
Cars - Gasoline hybrid,R1,2040,fixed,,0,0,0,1.242520537,0,0,
Cars - Gasoline hybrid,R1,2050,fixed,,0,0,0,1.145448619,0,0,
Cars - LPG,R1,2020,fixed,,0,0,0,0,2.293476688,0,
Cars - LPG,R1,2030,fixed,,0,0,0,0,2.293476688,0,
Cars - LPG,R1,2040,fixed,,0,0,0,0,2.195881935,0,
Cars - LPG,R1,2050,fixed,,0,0,0,0,2.150134395,0,
Cars - Natural gas,R1,2020,fixed,,0,2.293476688,0,0,0,0,
Cars - Natural gas,R1,2030,fixed,,0,2.293476688,0,0,0,0,
Cars - Natural gas,R1,2040,fixed,,0,2.195881935,0,0,0,0,
Cars - Natural gas,R1,2050,fixed,,0,2.150134395,0,0,0,0,
