asset,year,region,technology,installed,capacity
0,2040,R1,Heavy trucks - LPG,2025,16.82510000000
0,2044,R1,Heavy trucks - LPG,2025,16.82510000000
1,2040,R1,Heavy trucks - LPG,2030,85.52340000000
1,2044,R1,Heavy trucks - LPG,2030,85.52340000000
1,2045,R1,Heavy trucks - LPG,2030,85.52340000000
1,2049,R1,Heavy trucks - LPG,2030,85.52340000000
2,2040,R1,Heavy trucks - LPG,2035,138.18840000000
2,2044,R1,Heavy trucks - LPG,2035,138.18840000000
2,2045,R1,Heavy trucks - LPG,2035,138.18840000000
2,2049,R1,Heavy trucks - LPG,2035,138.18840000000
2,2050,R1,Heavy trucks - LPG,2035,138.18840000000
2,2054,R1,Heavy trucks - LPG,2035,138.18840000000
3,2045,R1,Heavy trucks - LPG,2040,33.94490000000
3,2049,R1,Heavy trucks - LPG,2040,33.94490000000
3,2050,R1,Heavy trucks - LPG,2040,33.94490000000
3,2054,R1,Heavy trucks - LPG,2040,33.94490000000
3,2055,R1,Heavy trucks - LPG,2040,33.94490000000
3,2059,R1,Heavy trucks - LPG,2040,33.94490000000
4,2040,R1,Light Trucks - Conventional Diesel_High Efficiency,2025,3.07010000000
4,2044,R1,Light Trucks - Conventional Diesel_High Efficiency,2025,3.07010000000
5,2040,R1,Light Trucks - Conventional Diesel_High Efficiency,2030,12.25140000000
5,2044,R1,Light Trucks - Conventional Diesel_High Efficiency,2030,12.25140000000
5,2045,R1,Light Trucks - Conventional Diesel_High Efficiency,2030,12.25140000000
5,2049,R1,Light Trucks - Conventional Diesel_High Efficiency,2030,12.25140000000
6,2040,R1,Light Trucks - Conventional Diesel_High Efficiency,2035,32.33700000000
6,2044,R1,Light Trucks - Conventional Diesel_High Efficiency,2035,32.33700000000
6,2045,R1,Light Trucks - Conventional Diesel_High Efficiency,2035,32.33700000000
6,2049,R1,Light Trucks - Conventional Diesel_High Efficiency,2035,32.33700000000
6,2050,R1,Light Trucks - Conventional Diesel_High Efficiency,2035,32.33700000000
6,2054,R1,Light Trucks - Conventional Diesel_High Efficiency,2035,32.33700000000
7,2045,R1,Light Trucks - Conventional Diesel_High Efficiency,2040,6.46650000000
7,2049,R1,Light Trucks - Conventional Diesel_High Efficiency,2040,6.46650000000
7,2050,R1,Light Trucks - Conventional Diesel_High Efficiency,2040,6.46650000000
7,2054,R1,Light Trucks - Conventional Diesel_High Efficiency,2040,6.46650000000
7,2055,R1,Light Trucks - Conventional Diesel_High Efficiency,2040,6.46650000000
7,2059,R1,Light Trucks - Conventional Diesel_High Efficiency,2040,6.46650000000
8,2040,R1,Medium trucks - Natural gas,2025,10.19650000000
8,2044,R1,Medium trucks - Natural gas,2025,10.19650000000
9,2040,R1,Medium trucks - Natural gas,2030,34.51530000000
9,2044,R1,Medium trucks - Natural gas,2030,34.51530000000
9,2045,R1,Medium trucks - Natural gas,2030,34.51530000000
9,2049,R1,Medium trucks - Natural gas,2030,34.51530000000
10,2040,R1,Medium trucks - Natural gas,2035,121.79700000000
10,2044,R1,Medium trucks - Natural gas,2035,121.79700000000
10,2045,R1,Medium trucks - Natural gas,2035,121.79700000000
10,2049,R1,Medium trucks - Natural gas,2035,121.79700000000
10,2050,R1,Medium trucks - Natural gas,2035,121.79700000000
10,2054,R1,Medium trucks - Natural gas,2035,121.79700000000
11,2045,R1,Medium trucks - Natural gas,2040,22.06270000000
11,2049,R1,Medium trucks - Natural gas,2040,22.06270000000
11,2050,R1,Medium trucks - Natural gas,2040,22.06270000000
11,2054,R1,Medium trucks - Natural gas,2040,22.06270000000
11,2055,R1,Medium trucks - Natural gas,2040,22.06270000000
11,2059,R1,Medium trucks - Natural gas,2040,22.06270000000
