asset,year,region,installed,technology,capacity
3,2045,R1,2030,Heavy trucks - LPG,85.52340000000
3,2049,R1,2030,Heavy trucks - LPG,85.52340000000
4,2045,R1,2030,Light Trucks - Conventional Diesel_High Efficiency,12.25140000000
4,2049,R1,2030,Light Trucks - Conventional Diesel_High Efficiency,12.25140000000
5,2045,R1,2030,Medium trucks - Natural gas,34.51530000000
5,2049,R1,2030,Medium trucks - Natural gas,34.51530000000
6,2045,R1,2035,Heavy trucks - LPG,138.18840000000
6,2049,R1,2035,Heavy trucks - LPG,138.18840000000
6,2050,R1,2035,Heavy trucks - LPG,138.18840000000
6,2054,R1,2035,Heavy trucks - LPG,138.18840000000
7,2045,R1,2035,Light Trucks - Conventional Diesel_High Efficiency,32.33700000000
7,2049,R1,2035,Light Trucks - Conventional Diesel_High Efficiency,32.33700000000
7,2050,R1,2035,Light Trucks - Conventional Diesel_High Efficiency,32.33700000000
7,2054,R1,2035,Light Trucks - Conventional Diesel_High Efficiency,32.33700000000
8,2045,R1,2035,Medium trucks - Natural gas,121.79700000000
8,2049,R1,2035,Medium trucks - Natural gas,121.79700000000
8,2050,R1,2035,Medium trucks - Natural gas,121.79700000000
8,2054,R1,2035,Medium trucks - Natural gas,121.79700000000
9,2045,R1,2040,Heavy trucks - LPG,33.94490000000
9,2049,R1,2040,Heavy trucks - LPG,33.94490000000
9,2050,R1,2040,Heavy trucks - LPG,33.94490000000
9,2054,R1,2040,Heavy trucks - LPG,33.94490000000
9,2055,R1,2040,Heavy trucks - LPG,33.94490000000
9,2059,R1,2040,Heavy trucks - LPG,33.94490000000
10,2045,R1,2040,Light Trucks - Conventional Diesel_High Efficiency,6.46650000000
10,2049,R1,2040,Light Trucks - Conventional Diesel_High Efficiency,6.46650000000
10,2050,R1,2040,Light Trucks - Conventional Diesel_High Efficiency,6.46650000000
10,2054,R1,2040,Light Trucks - Conventional Diesel_High Efficiency,6.46650000000
10,2055,R1,2040,Light Trucks - Conventional Diesel_High Efficiency,6.46650000000
10,2059,R1,2040,Light Trucks - Conventional Diesel_High Efficiency,6.46650000000
11,2045,R1,2040,Medium trucks - Natural gas,22.06270000000
11,2049,R1,2040,Medium trucks - Natural gas,22.06270000000
11,2050,R1,2040,Medium trucks - Natural gas,22.06270000000
11,2054,R1,2040,Medium trucks - Natural gas,22.06270000000
11,2055,R1,2040,Medium trucks - Natural gas,22.06270000000
11,2059,R1,2040,Medium trucks - Natural gas,22.06270000000
12,2050,R1,2045,Heavy trucks - LPG,84.42260000000
12,2054,R1,2045,Heavy trucks - LPG,84.42260000000
12,2055,R1,2045,Heavy trucks - LPG,84.42260000000
12,2059,R1,2045,Heavy trucks - LPG,84.42260000000
12,2060,R1,2045,Heavy trucks - LPG,84.42260000000
12,2064,R1,2045,Heavy trucks - LPG,84.42260000000
13,2050,R1,2045,Light Trucks - Conventional Diesel_High Efficiency,12.03400000000
13,2054,R1,2045,Light Trucks - Conventional Diesel_High Efficiency,12.03400000000
13,2055,R1,2045,Light Trucks - Conventional Diesel_High Efficiency,12.03400000000
13,2059,R1,2045,Light Trucks - Conventional Diesel_High Efficiency,12.03400000000
13,2060,R1,2045,Light Trucks - Conventional Diesel_High Efficiency,12.03400000000
13,2064,R1,2045,Light Trucks - Conventional Diesel_High Efficiency,12.03400000000
14,2050,R1,2045,Medium trucks - Natural gas,33.75570000000
14,2054,R1,2045,Medium trucks - Natural gas,33.75570000000
14,2055,R1,2045,Medium trucks - Natural gas,33.75570000000
14,2059,R1,2045,Medium trucks - Natural gas,33.75570000000
14,2060,R1,2045,Medium trucks - Natural gas,33.75570000000
14,2064,R1,2045,Medium trucks - Natural gas,33.75570000000
