ProcessName,RegionName,Time,Level,CO2f,electricity,gas,diesel,gasoline,LPG,hydrogen,transport
Unit,-,Year,-,kt/PJ,PJ/(Bv-km),PJ/(Bv-km),PJ/(Bv-km),PJ/(Bv-km),PJ/(Bv-km),PJ/(Bv-km),Bv-km
Cars - Conventional Diesel,R1,2020,fixed,74.1,0,0,0,0,0,0,1
Cars - Conventional Diesel,R1,2030,fixed,74.1,0,0,0,0,0,0,1
Cars - Conventional Diesel,R1,2040,fixed,74.1,0,0,0,0,0,0,1
Cars - Conventional Diesel,R1,2050,fixed,74.1,0,0,0,0,0,0,1
Cars - Conventional Diesel_Medium Efficiency,R1,2020,fixed,74.1,0,0,0,0,0,0,1
Cars - Conventional Diesel_Medium Efficiency,R1,2030,fixed,74.1,0,0,0,0,0,0,1
Cars - Conventional Diesel_Medium Efficiency,R1,2040,fixed,74.1,0,0,0,0,0,0,1
Cars - Conventional Diesel_Medium Efficiency,R1,2050,fixed,74.1,0,0,0,0,0,0,1
Cars - Conventional Diesel_High Efficiency,R1,2020,fixed,74.1,0,0,0,0,0,0,1
Cars - Conventional Diesel_High Efficiency,R1,2030,fixed,74.1,0,0,0,0,0,0,1
Cars - Conventional Diesel_High Efficiency,R1,2040,fixed,74.1,0,0,0,0,0,0,1
Cars - Conventional Diesel_High Efficiency,R1,2050,fixed,74.1,0,0,0,0,0,0,1
Cars - Battery Electric (BEV),R1,2020,fixed,0,0,0,0,0,0,0,1
Cars - Battery Electric (BEV),R1,2030,fixed,0,0,0,0,0,0,0,1
Cars - Battery Electric (BEV),R1,2040,fixed,0,0,0,0,0,0,0,1
Cars - Battery Electric (BEV),R1,2050,fixed,0,0,0,0,0,0,0,1
Cars - Conventional Gasoline,R1,2020,fixed,70,0,0,0,0,0,0,1
Cars - Conventional Gasoline,R1,2030,fixed,70,0,0,0,0,0,0,1
Cars - Conventional Gasoline,R1,2040,fixed,70,0,0,0,0,0,0,1
Cars - Conventional Gasoline,R1,2050,fixed,70,0,0,0,0,0,0,1
Cars - Conventional Gasoline_Medium Efficiency,R1,2020,fixed,70,0,0,0,0,0,0,1
Cars - Conventional Gasoline_Medium Efficiency,R1,2030,fixed,70,0,0,0,0,0,0,1
Cars - Conventional Gasoline_Medium Efficiency,R1,2040,fixed,70,0,0,0,0,0,0,1
Cars - Conventional Gasoline_Medium Efficiency,R1,2050,fixed,70,0,0,0,0,0,0,1
Cars - Conventional Gasoline_High Efficiency,R1,2020,fixed,70,0,0,0,0,0,0,1
Cars - Conventional Gasoline_High Efficiency,R1,2030,fixed,70,0,0,0,0,0,0,1
Cars - Conventional Gasoline_High Efficiency,R1,2040,fixed,70,0,0,0,0,0,0,1
Cars - Conventional Gasoline_High Efficiency,R1,2050,fixed,70,0,0,0,0,0,0,1
Cars - Plugin Hybrid EV (PHEV),R1,2020,fixed,70,0,0,0,0,0,0,1
Cars - Plugin Hybrid EV (PHEV),R1,2030,fixed,70,0,0,0,0,0,0,1
Cars - Plugin Hybrid EV (PHEV),R1,2040,fixed,70,0,0,0,0,0,0,1
Cars - Plugin Hybrid EV (PHEV),R1,2050,fixed,70,0,0,0,0,0,0,1
Cars - Hydrogen fuel cell,R1,2020,fixed,0,0,0,0,0,0,0,1
Cars - Hydrogen fuel cell,R1,2030,fixed,0,0,0,0,0,0,0,1
Cars - Hydrogen fuel cell,R1,2040,fixed,0,0,0,0,0,0,0,1
Cars - Hydrogen fuel cell,R1,2050,fixed,0,0,0,0,0,0,0,1
Cars - Gasoline hybrid,R1,2020,fixed,70,0,0,0,0,0,0,1
Cars - Gasoline hybrid,R1,2030,fixed,70,0,0,0,0,0,0,1
Cars - Gasoline hybrid,R1,2040,fixed,70,0,0,0,0,0,0,1
Cars - Gasoline hybrid,R1,2050,fixed,70,0,0,0,0,0,0,1
Cars - LPG,R1,2020,fixed,63.1,0,0,0,0,0,0,1
Cars - LPG,R1,2030,fixed,63.1,0,0,0,0,0,0,1
Cars - LPG,R1,2040,fixed,63.1,0,0,0,0,0,0,1
Cars - LPG,R1,2050,fixed,63.1,0,0,0,0,0,0,1
Cars - Natural gas,R1,2020,fixed,56.1,0,0,0,0,0,0,1
Cars - Natural gas,R1,2030,fixed,56.1,0,0,0,0,0,0,1
Cars - Natural gas,R1,2040,fixed,56.1,0,0,0,0,0,0,1
Cars - Natural gas,R1,2050,fixed,56.1,0,0,0,0,0,0,1
