ProcessName,RegionName,Time,Level,cap_par,cap_exp,fix_par,fix_exp,var_par,var_exp,MaxCapacityAddition,MaxCapacityGrowth,TotalCapacityLimit,TechnicalLife,UtilizationFactor,ScalingSize,efficiency,InterestRate,Type,Fuel,EndUse,Agent2
Unit,-,Year,-,MUS$2010 / btons*km,-,MUS$2010 / btons*km,-,MUS$2010 / btons*km,-,btonskm,%,btonskm,Years,-,PJ,%,-,-,-,-,Retrofit
Heavy trucks - Conventional diesel_Medium Efficiency,R1,2020,fixed,183.7586054,1,12.47732928,1,0,1,0,0,0,15,0.4186,1,100,0.1,energy,diesel,transport_heavy,1
Heavy trucks - Conventional diesel_Medium Efficiency,R1,2030,fixed,183.7586054,1,12.62776456,1,0,1,0,0,0,15,0.4186,1,100,0.1,energy,diesel,transport_heavy,1
Heavy trucks - Conventional diesel_Medium Efficiency,R1,2040,fixed,183.7586054,1,12.62776456,1,0,1,0,0,0,15,0.4186,1,100,0.1,energy,diesel,transport_heavy,1
Heavy trucks - Conventional diesel_Medium Efficiency,R1,2050,fixed,183.7586054,1,12.62776456,1,0,1,0,0,0,15,0.4186,1,100,0.1,energy,diesel,transport_heavy,1
Heavy trucks - Conventional diesel_High Efficiency,R1,2020,fixed,187.3617153,1,12.59609398,1,0,1,1000,20,5000,15,0.4186,1,100,0.1,energy,diesel,transport_heavy,1
Heavy trucks - Conventional diesel_High Efficiency,R1,2030,fixed,192.0770988,1,12.74652926,1,0,1,0,0,0,15,0.4186,1,100,0.1,energy,diesel,transport_heavy,1
Heavy trucks - Conventional diesel_High Efficiency,R1,2040,fixed,192.0770988,1,12.74652926,1,0,1,0,0,0,15,0.4186,1,100,0.1,energy,diesel,transport_heavy,1
Heavy trucks - Conventional diesel_High Efficiency,R1,2050,fixed,192.0770988,1,12.74652926,1,0,1,0,0,0,15,0.4186,1,100,0.1,energy,diesel,transport_heavy,1
Heavy trucks - Conventional diesel,R1,2020,fixed,180.1554955,1,12.35856458,1,0,1,0,0,0,15,0.4186,1,100,0.1,energy,diesel,transport_heavy,1
Heavy trucks - Conventional diesel,R1,2030,fixed,180.1554955,1,12.50899986,1,0,1,0,0,0,15,0.4186,1,100,0.1,energy,diesel,transport_heavy,1
Heavy trucks - Conventional diesel,R1,2040,fixed,180.1554955,1,12.50899986,1,0,1,0,0,0,15,0.4186,1,100,0.1,energy,diesel,transport_heavy,1
Heavy trucks - Conventional diesel,R1,2050,fixed,180.1554955,1,12.50899986,1,0,1,0,0,0,15,0.4186,1,100,0.1,energy,diesel,transport_heavy,1
Heavy trucks - Battery Electric,R1,2020,fixed,339.4074976,1,23.83601833,1,0,1,1000,20,5000,15,0.4186,1,100,0.1,energy,electricity,transport_heavy,1
Heavy trucks - Battery Electric,R1,2030,fixed,339.4074976,1,12.62776456,1,0,1,1000,20,5000,15,0.4186,1,100,0.1,energy,electricity,transport_heavy,1
Heavy trucks - Battery Electric,R1,2040,fixed,285.3153411,1,11.19071171,1,0,1,1000,20,5000,15,0.4186,1,100,0.1,energy,electricity,transport_heavy,1
Heavy trucks - Battery Electric,R1,2050,fixed,277.5518504,1,11.19071171,1,0,1,1000,20,5000,15,0.4186,1,100,0.1,energy,electricity,transport_heavy,1
Heavy trucks - Conventional gasoline,R1,2020,fixed,180.1554955,1,12.35856458,1,0,1,1000,20,5000,15,0.4186,1,100,0.1,energy,gasoline,transport_heavy,1
Heavy trucks - Conventional gasoline,R1,2030,fixed,184.689518,1,12.50899986,1,0,1,0,0,0,15,0.4186,1,100,0.1,energy,gasoline,transport_heavy,1
Heavy trucks - Conventional gasoline,R1,2040,fixed,184.689518,1,12.50899986,1,0,1,0,0,0,15,0.4186,1,100,0.1,energy,gasoline,transport_heavy,1
Heavy trucks - Conventional gasoline,R1,2050,fixed,184.689518,1,12.50899986,1,0,1,0,0,0,15,0.4186,1,100,0.1,energy,gasoline,transport_heavy,1
Heavy trucks - Hydrogen,R1,2020,fixed,291.4888638,1,26.6395247,1,0,1,1000,20,5000,15,0.4186,1,100,0.1,energy,hydrogen,transport_heavy,1
Heavy trucks - Hydrogen,R1,2030,fixed,294.553863,1,17.84549364,1,0,1,1000,20,5000,15,0.4186,1,100,0.1,energy,hydrogen,transport_heavy,1
Heavy trucks - Hydrogen,R1,2040,fixed,267.5077847,1,11.19071171,1,0,1,1000,20,5000,15,0.4186,1,100,0.1,energy,hydrogen,transport_heavy,1
Heavy trucks - Hydrogen,R1,2050,fixed,263.6260394,1,11.19071171,1,0,1,1000,20,5000,15,0.4186,1,100,0.1,energy,hydrogen,transport_heavy,1
Heavy trucks - LPG,R1,2020,fixed,201.4578945,1,12.77819985,1,0,1,1000,20,5000,15,0.4186,1,100,0.1,energy,LPG,transport_heavy,1
Heavy trucks - LPG,R1,2030,fixed,211.5167209,1,12.92863513,1,0,1,0,0,0,15,0.4186,1,100,0.1,energy,LPG,transport_heavy,1
Heavy trucks - LPG,R1,2040,fixed,216.6259029,1,12.92863513,1,0,1,0,0,0,15,0.4186,1,100,0.1,energy,LPG,transport_heavy,1
Heavy trucks - LPG,R1,2050,fixed,221.8584971,1,12.92863513,1,0,1,0,0,0,15,0.4186,1,100,0.1,energy,LPG,transport_heavy,1
Heavy trucks - Natural gas,R1,2020,fixed,243.5702299,1,13.73475052,1,0,1,1000,20,5000,15,0.4186,1,100,0.1,energy,gas,transport_heavy,1
Heavy trucks - Natural gas,R1,2030,fixed,249.7002284,1,12.74652926,1,0,1,0,0,0,15,0.4186,1,100,0.1,energy,gas,transport_heavy,1
Heavy trucks - Natural gas,R1,2040,fixed,249.7002284,1,12.74652926,1,0,1,0,0,0,15,0.4186,1,100,0.1,energy,gas,transport_heavy,1
Heavy trucks - Natural gas,R1,2050,fixed,249.7002284,1,12.74652926,1,0,1,0,0,0,15,0.4186,1,100,0.1,energy,gas,transport_heavy,1
Medium trucks - Conventional Diesel_Medium Efficiency,R1,2020,fixed,588.3845096,1,66.50225016,1,0,1,0,0,0,15,0.4186,1,100,0.1,energy,diesel,transport_medium,1
Medium trucks - Conventional Diesel_Medium Efficiency,R1,2030,fixed,588.3845096,1,67.50169161,1,0,1,0,0,0,15,0.4186,1,100,0.1,energy,diesel,transport_medium,1
Medium trucks - Conventional Diesel_Medium Efficiency,R1,2040,fixed,588.3845096,1,63.68698472,1,0,1,0,0,0,15,0.4186,1,100,0.1,energy,diesel,transport_medium,1
Medium trucks - Conventional Diesel_Medium Efficiency,R1,2050,fixed,588.3845096,1,63.68698472,1,0,1,0,0,0,15,0.4186,1,100,0.1,energy,diesel,transport_medium,1
Medium trucks - Conventional Diesel_High Efficency,R1,2020,fixed,599.9214608,1,67.27454582,1,0,1,1000,20,5000,15,0.4186,1,100,0.1,energy,diesel,transport_medium,1
Medium trucks - Conventional Diesel_High Efficency,R1,2030,fixed,615.019848,1,68.27398727,1,0,1,0,0,0,15,0.4186,1,100,0.1,energy,diesel,transport_medium,1
Medium trucks - Conventional Diesel_High Efficency,R1,2040,fixed,615.019848,1,64.38722481,1,0,1,0,0,0,15,0.4186,1,100,0.1,energy,diesel,transport_medium,1
