ProcessName,RegionName,Time,Level,CO2f,electricity,gas,diesel,gasoline,LPG,hydrogen,transport_heavy,transport_medium,transport_light,CH4f,N2Of
Unit,-,Year,-,kt/PJ,PJ/(km*btons),PJ/(km*btons),PJ/(km*btons),PJ/(km*btons),PJ/(km*btons),PJ/(km*btons),btons*km,btons*km,btons*km,kt/PJ,kt/PJ
Heavy trucks - Conventional diesel_Medium Efficiency,R1,2020,fixed,74.1,0,0,0,0,0,0,1,0,0,0.000225851,0.000212566
Heavy trucks - Conventional diesel_Medium Efficiency,R1,2030,fixed,74.1,0,0,0,0,0,0,1,0,0,0.000240583,0.000226431
Heavy trucks - Conventional diesel_Medium Efficiency,R1,2040,fixed,74.1,0,0,0,0,0,0,1,0,0,0.000255315,0.000240297
Heavy trucks - Conventional diesel_Medium Efficiency,R1,2050,fixed,74.1,0,0,0,0,0,0,1,0,0,0.000270047,0.000254162
Heavy trucks - Conventional diesel_High Efficiency,R1,2020,fixed,74.1,0,0,0,0,0,0,1,0,0,0.00049692,0.002254446
Heavy trucks - Conventional diesel_High Efficiency,R1,2030,fixed,74.1,0,0,0,0,0,0,1,0,0,0.000524362,0.002378947
Heavy trucks - Conventional diesel_High Efficiency,R1,2040,fixed,74.1,0,0,0,0,0,0,1,0,0,0.000551804,0.002503448
Heavy trucks - Conventional diesel_High Efficiency,R1,2050,fixed,74.1,0,0,0,0,0,0,1,0,0,0.000579246,0.002627949
Heavy trucks - Conventional diesel,R1,2020,fixed,74.1,0,0,0,0,0,0,1,0,0,0.000184935,0.000174056
Heavy trucks - Conventional diesel,R1,2030,fixed,74.1,0,0,0,0,0,0,1,0,0,0.000199667,0.000187922
Heavy trucks - Conventional diesel,R1,2040,fixed,74.1,0,0,0,0,0,0,1,0,0,0.000214399,0.000201787
Heavy trucks - Conventional diesel,R1,2050,fixed,74.1,0,0,0,0,0,0,1,0,0,0.000229131,0.000215653
Heavy trucks - Battery Electric,R1,2020,fixed,0,0,0,0,0,0,0,1,0,0,0,0
Heavy trucks - Battery Electric,R1,2030,fixed,0,0,0,0,0,0,0,1,0,0,0,0
Heavy trucks - Battery Electric,R1,2040,fixed,0,0,0,0,0,0,0,1,0,0,0,0
Heavy trucks - Battery Electric,R1,2050,fixed,0,0,0,0,0,0,0,1,0,0,0,0
Heavy trucks - Conventional gasoline,R1,2020,fixed,70,0,0,0,0,0,0,1,0,0,0.001827729,8.09E-05
Heavy trucks - Conventional gasoline,R1,2030,fixed,70,0,0,0,0,0,0,1,0,0,0.001982957,8.77E-05
Heavy trucks - Conventional gasoline,R1,2040,fixed,70,0,0,0,0,0,0,1,0,0,0.001982957,8.77E-05
Heavy trucks - Conventional gasoline,R1,2050,fixed,70,0,0,0,0,0,0,1,0,0,0.001982957,8.77E-05
Heavy trucks - Hydrogen,R1,2020,fixed,0,0,0,0,0,0,0,1,0,0,0,0
Heavy trucks - Hydrogen,R1,2030,fixed,0,0,0,0,0,0,0,1,0,0,0,0
Heavy trucks - Hydrogen,R1,2040,fixed,0,0,0,0,0,0,0,1,0,0,0,0
Heavy trucks - Hydrogen,R1,2050,fixed,0,0,0,0,0,0,0,1,0,0,0,0
Heavy trucks - LPG,R1,2020,fixed,63.1,0,0,0,0,0,0,1,0,0,0.000771989,0.001543979
Heavy trucks - LPG,R1,2030,fixed,63.1,0,0,0,0,0,0,1,0,0,0.000808467,0.001616935
