region,timeslice,commodity,year,month,day,hour,supply
R1,0,CO2f,2050,all-year,all-week,night,2232.69910000000
R1,0,CO2f,2055,all-year,all-week,night,2381.55750000000
R1,0,transport_heavy,2050,all-year,all-week,night,17.89910000000
R1,0,transport_heavy,2055,all-year,all-week,night,17.49060000000
R1,0,transport_medium,2050,all-year,all-week,night,12.39160000000
R1,0,transport_medium,2055,all-year,all-week,night,12.10890000000
R1,0,transport_light,2050,all-year,all-week,night,5.50740000000
R1,0,transport_light,2055,all-year,all-week,night,5.38170000000
R1,0,CH4f,2050,all-year,all-week,night,16.00720000000
R1,0,CH4f,2055,all-year,all-week,night,5.06220000000
R1,0,N2Of,2050,all-year,all-week,night,0.05120000000
R1,0,N2Of,2055,all-year,all-week,night,0.04560000000
R1,1,CO2f,2050,all-year,all-week,morning,2232.69910000000
R1,1,CO2f,2055,all-year,all-week,morning,2381.55750000000
R1,1,transport_heavy,2050,all-year,all-week,morning,17.89910000000
R1,1,transport_heavy,2055,all-year,all-week,morning,17.49060000000
R1,1,transport_medium,2050,all-year,all-week,morning,12.39160000000
R1,1,transport_medium,2055,all-year,all-week,morning,12.10890000000
R1,1,transport_light,2050,all-year,all-week,morning,5.50740000000
R1,1,transport_light,2055,all-year,all-week,morning,5.38170000000
R1,1,CH4f,2050,all-year,all-week,morning,16.00720000000
R1,1,CH4f,2055,all-year,all-week,morning,5.06220000000
R1,1,N2Of,2050,all-year,all-week,morning,0.05120000000
R1,1,N2Of,2055,all-year,all-week,morning,0.04560000000
R1,2,CO2f,2050,all-year,all-week,afternoon,2232.69910000000
R1,2,CO2f,2055,all-year,all-week,afternoon,2381.55750000000
R1,2,transport_heavy,2050,all-year,all-week,afternoon,17.89910000000
R1,2,transport_heavy,2055,all-year,all-week,afternoon,17.49060000000
R1,2,transport_medium,2050,all-year,all-week,afternoon,12.39160000000
R1,2,transport_medium,2055,all-year,all-week,afternoon,12.10890000000
R1,2,transport_light,2050,all-year,all-week,afternoon,5.50740000000
R1,2,transport_light,2055,all-year,all-week,afternoon,5.38170000000
R1,2,CH4f,2050,all-year,all-week,afternoon,16.00720000000
R1,2,CH4f,2055,all-year,all-week,afternoon,5.06220000000
R1,2,N2Of,2050,all-year,all-week,afternoon,0.05120000000
R1,2,N2Of,2055,all-year,all-week,afternoon,0.04560000000
R1,3,CO2f,2050,all-year,all-week,early-peak,2232.69910000000
R1,3,CO2f,2055,all-year,all-week,early-peak,2381.55750000000
R1,3,transport_heavy,2050,all-year,all-week,early-peak,17.89910000000
R1,3,transport_heavy,2055,all-year,all-week,early-peak,17.49060000000
R1,3,transport_medium,2050,all-year,all-week,early-peak,12.39160000000
R1,3,transport_medium,2055,all-year,all-week,early-peak,12.10890000000
R1,3,transport_light,2050,all-year,all-week,early-peak,5.50740000000
R1,3,transport_light,2055,all-year,all-week,early-peak,5.38170000000
R1,3,CH4f,2050,all-year,all-week,early-peak,16.00720000000
R1,3,CH4f,2055,all-year,all-week,early-peak,5.06220000000
R1,3,N2Of,2050,all-year,all-week,early-peak,0.05120000000
R1,3,N2Of,2055,all-year,all-week,early-peak,0.04560000000
R1,4,CO2f,2050,all-year,all-week,late-peak,2232.69910000000
R1,4,CO2f,2055,all-year,all-week,late-peak,2381.55750000000
R1,4,transport_heavy,2050,all-year,all-week,late-peak,17.89910000000
R1,4,transport_heavy,2055,all-year,all-week,late-peak,17.49060000000
R1,4,transport_medium,2050,all-year,all-week,late-peak,12.39160000000
R1,4,transport_medium,2055,all-year,all-week,late-peak,12.10890000000
R1,4,transport_light,2050,all-year,all-week,late-peak,5.50740000000
R1,4,transport_light,2055,all-year,all-week,late-peak,5.38170000000
R1,4,CH4f,2050,all-year,all-week,late-peak,16.00720000000
R1,4,CH4f,2055,all-year,all-week,late-peak,5.06220000000
R1,4,N2Of,2050,all-year,all-week,late-peak,0.05120000000
R1,4,N2Of,2055,all-year,all-week,late-peak,0.04560000000
R1,5,CO2f,2050,all-year,all-week,evening,2232.69910000000
R1,5,CO2f,2055,all-year,all-week,evening,2381.55750000000
R1,5,transport_heavy,2050,all-year,all-week,evening,17.89910000000
R1,5,transport_heavy,2055,all-year,all-week,evening,17.49060000000
R1,5,transport_medium,2050,all-year,all-week,evening,12.39160000000
R1,5,transport_medium,2055,all-year,all-week,evening,12.10890000000
R1,5,transport_light,2050,all-year,all-week,evening,5.50740000000
R1,5,transport_light,2055,all-year,all-week,evening,5.38170000000
R1,5,CH4f,2050,all-year,all-week,evening,16.00720000000
R1,5,CH4f,2055,all-year,all-week,evening,5.06220000000
R1,5,N2Of,2050,all-year,all-week,evening,0.05120000000
R1,5,N2Of,2055,all-year,all-week,evening,0.04560000000
