region,timeslice,commodity,year,month,day,hour,supply
R1,0,CO2f,2020,all-year,all-week,night,1675.58160000000
R1,0,CO2f,2025,all-year,all-week,night,1989.99490000000
R1,0,transport_heavy,2020,all-year,all-week,night,10.16620000000
R1,0,transport_heavy,2025,all-year,all-week,night,14.46160000000
R1,0,transport_medium,2020,all-year,all-week,night,8.28220000000
R1,0,transport_medium,2025,all-year,all-week,night,10.00880000000
R1,0,transport_light,2020,all-year,all-week,night,4.32300000000
R1,0,transport_light,2025,all-year,all-week,night,4.44830000000
R1,0,CH4f,2020,all-year,all-week,night,0.26090000000
R1,0,CH4f,2025,all-year,all-week,night,10.10380000000
R1,0,N2Of,2020,all-year,all-week,night,0.03360000000
R1,0,N2Of,2025,all-year,all-week,night,0.05630000000
R1,1,CO2f,2020,all-year,all-week,morning,1675.58160000000
R1,1,CO2f,2025,all-year,all-week,morning,1989.99490000000
R1,1,transport_heavy,2020,all-year,all-week,morning,10.16620000000
R1,1,transport_heavy,2025,all-year,all-week,morning,14.46160000000
R1,1,transport_medium,2020,all-year,all-week,morning,8.28220000000
R1,1,transport_medium,2025,all-year,all-week,morning,10.00880000000
R1,1,transport_light,2020,all-year,all-week,morning,4.32300000000
R1,1,transport_light,2025,all-year,all-week,morning,4.44830000000
R1,1,CH4f,2020,all-year,all-week,morning,0.26090000000
R1,1,CH4f,2025,all-year,all-week,morning,10.10380000000
R1,1,N2Of,2020,all-year,all-week,morning,0.03360000000
R1,1,N2Of,2025,all-year,all-week,morning,0.05630000000
R1,2,CO2f,2020,all-year,all-week,afternoon,1675.58160000000
R1,2,CO2f,2025,all-year,all-week,afternoon,1989.99490000000
R1,2,transport_heavy,2020,all-year,all-week,afternoon,10.16620000000
R1,2,transport_heavy,2025,all-year,all-week,afternoon,14.46160000000
R1,2,transport_medium,2020,all-year,all-week,afternoon,8.28220000000
R1,2,transport_medium,2025,all-year,all-week,afternoon,10.00880000000
R1,2,transport_light,2020,all-year,all-week,afternoon,4.32300000000
R1,2,transport_light,2025,all-year,all-week,afternoon,4.44830000000
R1,2,CH4f,2020,all-year,all-week,afternoon,0.26090000000
R1,2,CH4f,2025,all-year,all-week,afternoon,10.10380000000
R1,2,N2Of,2020,all-year,all-week,afternoon,0.03360000000
R1,2,N2Of,2025,all-year,all-week,afternoon,0.05630000000
R1,3,CO2f,2020,all-year,all-week,early-peak,1675.58160000000
R1,3,CO2f,2025,all-year,all-week,early-peak,1989.99490000000
R1,3,transport_heavy,2020,all-year,all-week,early-peak,10.16620000000
R1,3,transport_heavy,2025,all-year,all-week,early-peak,14.46160000000
R1,3,transport_medium,2020,all-year,all-week,early-peak,8.28220000000
R1,3,transport_medium,2025,all-year,all-week,early-peak,10.00880000000
R1,3,transport_light,2020,all-year,all-week,early-peak,4.32300000000
R1,3,transport_light,2025,all-year,all-week,early-peak,4.44830000000
R1,3,CH4f,2020,all-year,all-week,early-peak,0.26090000000
R1,3,CH4f,2025,all-year,all-week,early-peak,10.10380000000
R1,3,N2Of,2020,all-year,all-week,early-peak,0.03360000000
R1,3,N2Of,2025,all-year,all-week,early-peak,0.05630000000
R1,4,CO2f,2020,all-year,all-week,late-peak,1675.58160000000
R1,4,CO2f,2025,all-year,all-week,late-peak,1989.99490000000
R1,4,transport_heavy,2020,all-year,all-week,late-peak,10.16620000000
R1,4,transport_heavy,2025,all-year,all-week,late-peak,14.46160000000
R1,4,transport_medium,2020,all-year,all-week,late-peak,8.28220000000
R1,4,transport_medium,2025,all-year,all-week,late-peak,10.00880000000
R1,4,transport_light,2020,all-year,all-week,late-peak,4.32300000000
R1,4,transport_light,2025,all-year,all-week,late-peak,4.44830000000
R1,4,CH4f,2020,all-year,all-week,late-peak,0.26090000000
R1,4,CH4f,2025,all-year,all-week,late-peak,10.10380000000
R1,4,N2Of,2020,all-year,all-week,late-peak,0.03360000000
R1,4,N2Of,2025,all-year,all-week,late-peak,0.05630000000
R1,5,CO2f,2020,all-year,all-week,evening,1675.58160000000
R1,5,CO2f,2025,all-year,all-week,evening,1989.99490000000
R1,5,transport_heavy,2020,all-year,all-week,evening,10.16620000000
R1,5,transport_heavy,2025,all-year,all-week,evening,14.46160000000
R1,5,transport_medium,2020,all-year,all-week,evening,8.28220000000
R1,5,transport_medium,2025,all-year,all-week,evening,10.00880000000
R1,5,transport_light,2020,all-year,all-week,evening,4.32300000000
R1,5,transport_light,2025,all-year,all-week,evening,4.44830000000
R1,5,CH4f,2020,all-year,all-week,evening,0.26090000000
R1,5,CH4f,2025,all-year,all-week,evening,10.10380000000
R1,5,N2Of,2020,all-year,all-week,evening,0.03360000000
R1,5,N2Of,2025,all-year,all-week,evening,0.05630000000
