ProcessName,RegionName,Time,Level,cap_par,cap_exp,fix_par,fix_exp,var_par,var_exp,MaxCapacityAddition,MaxCapacityGrowth,TotalCapacityLimit,TechnicalLife,UtilizationFactor,ScalingSize,efficiency,InterestRate,Type,Fuel,EndUse,Agent2
Unit,-,Year,-,MUS$2010/Bv-km,-,(MUS$2010/Bv-km)year,-,MUS$2010/Bv-km,-,Bv-km,%,Bv-km,Years,-,Bv-km,%,-,-,-,-,Retrofit
Cars - Conventional Diesel,R1,2020,fixed,1534.679436,1,85.96851043,1,0,1,100000000,20,100000000,15,0.82,1,100,0.1,energy,diesel,transport,1
Cars - Conventional Diesel,R1,2030,fixed,1534.679436,1,85.96851043,1,0,1,100000000,20,100000000,15,0.82,1,100,0.1,energy,diesel,transport,1
Cars - Conventional Diesel,R1,2040,fixed,1534.679436,1,85.96851043,1,0,1,100000000,20,100000000,15,0.82,1,100,0.1,energy,diesel,transport,1
Cars - Conventional Diesel,R1,2050,fixed,1534.679436,1,85.96851043,1,0,1,100000000,20,100000000,15,0.82,1,100,0.1,energy,diesel,transport,1
Cars - Conventional Diesel_Medium Efficiency,R1,2020,fixed,1565.783839,1,87.9677781,1,0,1,100000000,20,100000000,15,0.82,1,100,0.1,energy,diesel,transport,1
Cars - Conventional Diesel_Medium Efficiency,R1,2030,fixed,1565.783839,1,87.9677781,1,0,1,100000000,20,100000000,15,0.82,1,100,0.1,energy,diesel,transport,1
Cars - Conventional Diesel_Medium Efficiency,R1,2040,fixed,1565.783839,1,87.9677781,1,0,1,100000000,20,100000000,15,0.82,1,100,0.1,energy,diesel,transport,1
Cars - Conventional Diesel_Medium Efficiency,R1,2050,fixed,1565.783839,1,87.9677781,1,0,1,100000000,20,100000000,15,0.82,1,100,0.1,energy,diesel,transport,1
Cars - Conventional Diesel_High Efficiency,R1,2020,fixed,1596.301365,1,87.9677781,1,0,1,100000000,20,100000000,15,0.82,1,100,0.1,energy,diesel,transport,1
Cars - Conventional Diesel_High Efficiency,R1,2030,fixed,1596.301365,1,87.9677781,1,0,1,100000000,20,100000000,15,0.82,1,100,0.1,energy,diesel,transport,1
Cars - Conventional Diesel_High Efficiency,R1,2040,fixed,1596.301365,1,87.9677781,1,0,1,100000000,20,100000000,15,0.82,1,100,0.1,energy,diesel,transport,1
Cars - Conventional Diesel_High Efficiency,R1,2050,fixed,1596.301365,1,87.9677781,1,0,1,100000000,20,100000000,15,0.82,1,100,0.1,energy,diesel,transport,1
Cars - Battery Electric (BEV),R1,2020,fixed,1828.704063,1,101.5583286,1,0,1,100000000,20,100000000,15,0.82,1,100,0.1,energy,electricity,transport,1
Cars - Battery Electric (BEV),R1,2030,fixed,1828.704063,1,101.5583286,1,0,1,100000000,20,100000000,15,0.82,1,100,0.1,energy,electricity,transport,1
Cars - Battery Electric (BEV),R1,2040,fixed,1828.704063,1,101.5583286,1,0,1,100000000,20,100000000,15,0.82,1,100,0.1,energy,electricity,transport,1
Cars - Battery Electric (BEV),R1,2050,fixed,1828.704063,1,101.5583286,1,0,1,100000000,20,100000000,15,0.82,1,100,0.1,energy,electricity,transport,1
Cars - Conventional Gasoline,R1,2020,fixed,1464.254377,1,81.63958898,1,0,1,100000000,20,100000000,15,0.82,1,100,0.1,energy,gasoline,transport,1
Cars - Conventional Gasoline,R1,2030,fixed,1464.254377,1,81.63958898,1,0,1,100000000,20,100000000,15,0.82,1,100,0.1,energy,gasoline,transport,1
Cars - Conventional Gasoline,R1,2040,fixed,1464.254377,1,81.63958898,1,0,1,100000000,20,100000000,15,0.82,1,100,0.1,energy,gasoline,transport,1
Cars - Conventional Gasoline,R1,2050,fixed,1464.254377,1,81.63958898,1,0,1,100000000,20,100000000,15,0.82,1,100,0.1,energy,gasoline,transport,1
Cars - Conventional Gasoline_Medium Efficiency,R1,2020,fixed,1493.598152,1,83.27238081,1,0,1,100000000,20,100000000,15,0.82,1,100,0.1,energy,gasoline,transport,1
Cars - Conventional Gasoline_Medium Efficiency,R1,2030,fixed,1493.598152,1,83.27238081,1,0,1,100000000,20,100000000,15,0.82,1,100,0.1,energy,gasoline,transport,1
Cars - Conventional Gasoline_Medium Efficiency,R1,2040,fixed,1493.598152,1,83.27238081,1,0,1,100000000,20,100000000,15,0.82,1,100,0.1,energy,gasoline,transport,1
Cars - Conventional Gasoline_Medium Efficiency,R1,2050,fixed,1493.598152,1,83.27238081,1,0,1,100000000,20,100000000,15,0.82,1,100,0.1,energy,gasoline,transport,1
Cars - Conventional Gasoline_High Efficiency,R1,2020,fixed,1522.941927,1,84.90517258,1,0,1,100000000,20,100000000,15,0.82,1,100,0.1,energy,gasoline,transport,1
Cars - Conventional Gasoline_High Efficiency,R1,2030,fixed,1522.941927,1,84.90517258,1,0,1,100000000,20,100000000,15,0.82,1,100,0.1,energy,gasoline,transport,1
Cars - Conventional Gasoline_High Efficiency,R1,2040,fixed,1522.941927,1,84.90517258,1,0,1,100000000,20,100000000,15,0.82,1,100,0.1,energy,gasoline,transport,1
Cars - Conventional Gasoline_High Efficiency,R1,2050,fixed,1522.941927,1,84.90517258,1,0,1,100000000,20,100000000,15,0.82,1,100,0.1,energy,gasoline,transport,1
Cars - Plugin Hybrid EV (PHEV),R1,2020,fixed,1529.984433,1,85.2744054,1,0,1,100000000,20,100000000,15,0.82,1,100,0.1,energy,electricity,transport,1
Cars - Plugin Hybrid EV (PHEV),R1,2030,fixed,1529.984433,1,85.2744054,1,0,1,100000000,20,100000000,15,0.82,1,100,0.1,energy,electricity,transport,1
Cars - Plugin Hybrid EV (PHEV),R1,2040,fixed,1529.984433,1,85.2744054,1,0,1,100000000,20,100000000,15,0.82,1,100,0.1,energy,electricity,transport,1
Cars - Plugin Hybrid EV (PHEV),R1,2050,fixed,1529.984433,1,85.2744054,1,0,1,100000000,20,100000000,15,0.82,1,100,0.1,energy,electricity,transport,1
Cars - Hydrogen fuel cell,R1,2020,fixed,1529.749683,1,127.9116081,1,0,1,100000000,20,100000000,15,0.82,1,100,0.1,energy,hydrogen,transport,1
Cars - Hydrogen fuel cell,R1,2030,fixed,1529.749683,1,127.9116081,1,0,1,100000000,20,100000000,15,0.82,1,100,0.1,energy,hydrogen,transport,1
Cars - Hydrogen fuel cell,R1,2040,fixed,1529.749683,1,127.9116081,1,0,1,100000000,20,100000000,15,0.82,1,100,0.1,energy,hydrogen,transport,1
Cars - Hydrogen fuel cell,R1,2050,fixed,1529.749683,1,127.9116081,1,0,1,100000000,20,100000000,15,0.82,1,100,0.1,energy,hydrogen,transport,1
Cars - Gasoline hybrid,R1,2020,fixed,1529.984433,1,85.2744054,1,0,1,100000000,20,100000000,15,0.82,1,100,0.1,energy,gasoline,transport,1
Cars - Gasoline hybrid,R1,2030,fixed,1529.984433,1,85.2744054,1,0,1,100000000,20,100000000,15,0.82,1,100,0.1,energy,gasoline,transport,1
Cars - Gasoline hybrid,R1,2040,fixed,1529.984433,1,85.2744054,1,0,1,100000000,20,100000000,15,0.82,1,100,0.1,energy,gasoline,transport,1
Cars - Gasoline hybrid,R1,2050,fixed,1529.984433,1,85.2744054,1,0,1,100000000,20,100000000,15,0.82,1,100,0.1,energy,gasoline,transport,1
Cars - LPG,R1,2020,fixed,2049.956127,1,114.2660544,1,0,1,100000000,20,100000000,15,0.82,1,100,0.1,energy,LPG,transport,1
Cars - LPG,R1,2030,fixed,2049.956127,1,114.2660544,1,0,1,100000000,20,100000000,15,0.82,1,100,0.1,energy,LPG,transport,1
